"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","AGE","Age","SEX","Sex","COU","Country of residence","Value","Flag Codes","Flags"
"AFRI","Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",122804,,
"DZA","Algeria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",653,,
"AGO","Angola","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",246,,
"BWA","Botswana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",230,,
"CMR","Cameroon","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"COG","Congo","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",23,,
"COD","Congo, Dem. Rep. Of","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",126,,
"CIV","Côte d’Ivoire","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"EGY","Egypt","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",22044,,
"ERI","Eritrea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1094,,
"ETH","Ethiopia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",2318,,
"GMB","Gambia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"GHA","Ghana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1390,,
"KEN","Kenya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4677,,
"LBR","Liberia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",41,,
"LBY","Libya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",866,,
"MDG","Madagascar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",39,,
"MWI","Malawi","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",269,,
"MUS","Mauritius","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",12269,,
"MAR","Morocco","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",826,,
"MOZ","Mozambique","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",316,,
"NAM","Namibia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",201,,
"NGA","Nigeria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1226,,
"RWA","Rwanda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"SYC","Seychelles","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1642,,
"SLE","Sierra Leone","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",101,,
"SOM","Somalia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1743,,
"ZAF","South Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",50987,,
"SEN","Senegal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",56,,
"SDN","Sudan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",2507,,
"SWZ","Swaziland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",33,,
"TUN","Tunisia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",171,,
"UGA","Uganda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",914,,
"TZA","United Rep. of Tanzania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1325,,
"ZMB","Zambia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",2424,,
"ZWE","Zimbabwe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",8593,,
"AFRI_UN","Unknown place of birth in Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3438,,
"ASIA_UN","Unknown place of birth in Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3367,,
"VNM","Vietnam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",118525,,
"YEM","Yemen","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",178,,
"USSR-UZB","Uzbekistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",157,,
"ARE","United Arab Emirates","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",100,,
"LKA","Sri Lanka","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",37221,,
"SYR","Syria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",5091,,
"THA","Thailand","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",13021,,
"TLS","Timor-Leste","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7130,,
"KOREA-SO","South Korea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",23451,,
